date,age,confirmed,deceased
"2020-03-26",60,1162,20
"2020-03-26",70,616,41
"2020-03-26",80,416,58
"2020-03-27",0,108,0
"2020-03-27",10,496,0
"2020-03-27",20,2532,0
"2020-03-27",30,960,1
"2020-03-27",40,1256,1
"2020-03-27",50,1752,10
"2020-03-27",60,1170,21
"2020-03-27",70,630,41
"2020-03-27",80,428,65
"2020-03-28",0,109,0
"2020-03-28",10,501,0
"2020-03-28",20,2567,0
"2020-03-28",30,978,1
"2020-03-28",40,1278,1
"2020-03-28",50,1780,10
"2020-03-28",60,1201,21
"2020-03-28",70,632,41
"2020-03-28",80,432,70
"2020-03-29",0,111,0
"2020-03-29",10,508,0
"2020-03-29",20,2602,0
"2020-03-29",30,993,1
"2020-03-29",40,1292,1
"2020-03-29",50,1798,10
"2020-03-29",60,1210,21
"2020-03-29",70,635,43
"2020-03-29",80,434,76
"2020-03-30",0,112,0
"2020-03-30",10,513,0
"2020-03-30",20,2630,0
"2020-03-30",30,1002,1
"2020-03-30",40,1297,1
"2020-03-30",50,1812,10
"2020-03-30",60,1218,21
"2020-03-30",70,640,45
"2020-03-30",80,437,80
"2020-03-31",0,112,0
"2020-03-31",10,515,0
"2020-03-31",20,2656,0
"2020-03-31",30,1012,1
"2020-03-31",40,1312,1
"2020-03-31",50,1851,10
"2020-03-31",60,1235,22
"2020-03-31",70,651,46
"2020-03-31",80,442,82
"2020-04-01",0,116,0
"2020-04-01",10,519,0
"2020-04-01",20,2682,0
"2020-04-01",30,1027,1
"2020-04-01",40,1323,1
"2020-04-01",50,1865,10
"2020-04-01",60,1245,23
"2020-04-01",70,658,46
"2020-04-01",80,452,84
"2020-04-02",0,119,0
"2020-04-02",10,522,0
"2020-04-02",20,2704,0
"2020-04-02",30,1043,1
"2020-04-02",40,1336,2
"2020-04-02",50,1878,11
"2020-04-02",60,1258,23
"2020-04-02",70,663,47
"2020-04-02",80,453,85
"2020-04-03",0,121,0
"2020-04-03",10,528,0
"2020-04-03",20,2734,0
"2020-04-03",30,1052,1
"2020-04-03",40,1350,2
"2020-04-03",50,1887,12
"2020-04-03",60,1266,24
"2020-04-03",70,668,49
"2020-04-03",80,456,86
"2020-04-04",0,122,0
"2020-04-04",10,530,0
"2020-04-04",20,2761,0
"2020-04-04",30,1066,1
"2020-04-04",40,1358,2
"2020-04-04",50,1898,12
"2020-04-04",60,1282,25
"2020-04-04",70,678,50
"2020-04-04",80,461,87
"2020-04-05",0,124,0
"2020-04-05",10,535,0
"2020-04-05",20,2789,0
"2020-04-05",30,1083,1
"2020-04-05",40,1370,2
"2020-04-05",50,1904,13
"2020-04-05",60,1289,25
"2020-04-05",70,681,51
